Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-leaf1,Ethernet2,192.168.51.1/31,spine,s1-spine1,Ethernet2,192.168.51.0/31
l3leaf,s1-leaf1,Ethernet3,192.168.51.3/31,spine,s1-spine2,Ethernet2,192.168.51.2/31
l3leaf,s1-leaf2,Ethernet2,192.168.51.5/31,spine,s1-spine1,Ethernet3,192.168.51.4/31
l3leaf,s1-leaf2,Ethernet3,192.168.51.7/31,spine,s1-spine2,Ethernet3,192.168.51.6/31
l3leaf,s1-leaf3,Ethernet2,192.168.51.9/31,spine,s1-spine1,Ethernet4,192.168.51.8/31
l3leaf,s1-leaf3,Ethernet3,192.168.51.11/31,spine,s1-spine2,Ethernet4,192.168.51.10/31
l3leaf,s1-leaf4,Ethernet2,192.168.51.13/31,spine,s1-spine1,Ethernet5,192.168.51.12/31
l3leaf,s1-leaf4,Ethernet3,192.168.51.15/31,spine,s1-spine2,Ethernet5,192.168.51.14/31
